Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",5,Vintage International,Paperback,123,1989,1942,,2026/03/22,,,read,,,,1,0
20424191,The Rosie Project,Graeme Simsion,"Simsion, Graeme",,"=""1405915331""","=""9781405915335""",5,Penguin,Mass Market Paperback,330,2013,2013,2019/07/12,2019/07/12,,,read,,,,1,0
27323,Hiroshima,John Hersey,"Hersey, John",,"=""0679721037""","=""9780679721031""",0,Vintage,Mass Market Paperback,152,1989,1946,,2026/01/17,currently-reading,currently-reading (#1),currently-reading,,,,1,0
121648,"Five Little Pigs (Hercule Poirot, #25)",Agatha Christie,"Christie, Agatha",,"=""""","=""""",3,Berkley,Mass Market Paperback,216,1984,1942,2026/01/15,2026/01/17,,,read,,,,1,0
77103,The Glass Palace,Amitav Ghosh,"Ghosh, Amitav",,"=""0375758771""","=""9780375758775""",5,Random House Trade Paperbacks,Paperback,486,2002,2000,2025/02/23,2025/02/23,,,read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,New American Library,Mass Market Paperback,328,1950,1948,2017/01/01,2017/04/23,,,read,,,,3,0
21102362,"Winter of the World (The Century Trilogy, #2)",Ken Follett,"Follett, Ken",,"=""0330460609""","=""9780330460606""",5,Pan Books,Paperback,915,2013,2012,2025/01/22,2025/01/21,,,read,,,,1,0
10444080,FALL OF GIANTS,Ken Follett,"Follett, Ken",,"=""0330535447""","=""9780330535441""",5,Pan MacMillan Paperback Omes,Mass Market Paperback,944,2011,2005,2024/11/04,2025/01/21,,,read,,,,1,0
13175687,कितने पाकिस्तान,Kamleshwar,"Kamleshwar, Kamleshwar",,"=""8170284767""","=""9788170284765""",5,Rajkamal Prakashan,Paperback,361,2010,2000,2025/01/13,2025/01/21,,,read,,,,1,0
402093,"Shōgun (Asian Saga, #1)",James Clavell,"Clavell, James",,"=""""","=""""",5,Dell,Paperback,1152,2009,1975,2024/03/10,2024/08/26,,,read,,,,1,0
32506,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael    Connelly,"Connelly, Michael",,"=""0446690457""","=""9780446690454""",0,Grand Central Publishing,Paperback,597,2002,1996,2024/08/24,2024/08/26,,,read,,,,1,0
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,"Adams, Douglas",,"=""0671742515""","=""9780671742515""",4,Pocket Books,Mass Market Paperback,307,1991,1988,2024/08/26,2024/08/26,,,read,,,,1,0
18622124,"Inferno (Robert Langdon, #4)",Dan    Brown,"Brown, Dan",,"=""""","=""""",5,Transworld Publishers Ltd,Paperback,620,2014,2013,2022/07/05,2022/07/16,,,read,,,,1,0
36992446,"Origin (Robert Langdon, #5)",Dan    Brown,"Brown, Dan",,"=""0552175692""","=""9780552175692""",4,"Corgi Books, London",Paperback,560,2018,2017,2019/02/23,2019/02/23,,,read,,,,1,0
33220021,गोदान [Godan],Munshi Premchand,"Premchand, Munshi",,"=""""","=""""",5,Public Domain Books,Kindle Edition,456,,1936,2023/09/24,2023/09/24,,,read,,,,1,0
31258203,Duniya Jise Kehte Hain,Nida Fazil,"Fazil, Nida",,"=""8183227368""","=""9788183227360""",5,Manjul Publishing House,Paperback,284,2016,,2023/02/18,2023/09/18,,,read,,,,1,0
56578056,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,"=""1786892731""","=""9781786892737""",4,Canongate Books Ltd.,Paperback,288,2021,2020,2023/09/18,2023/09/18,,,read,,,,1,0
823658,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",4,Pan Books,Mass Market Paperback,187,1980,1980,2020/03/07,2020/02/26,,,read,,,,2,0
386162,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,Del Rey,Paperback,193,2007,1979,2018/05/25,2018/04/05,,,read,,,,2,0
33208620,गबन,Munshi Premchand,"Premchand, Munshi",,"=""""","=""""",5,Public Domain Books,Kindle Edition,323,2016,1931,2023/08/27,2023/09/03,,,read,,,,1,0
18919445,The Humans,Matt Haig,"Haig, Matt",,"=""""","=""""",3,Simon & Schuster,Kindle Edition,304,2013,2013,2023/09/03,2023/09/03,,,read,,,,1,0
43582376,The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,"=""0385539304""","=""9780385539302""",0,Doubleday Books,Hardcover,450,2019,2019,,2023/07/06,to-read,to-read (#11),to-read,,,,0,0
41955387,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""1784708283""","=""9781784708283""",4,RANDOM HOUSE UK,Paperback,417,2019,2018,2023/07/02,2023/07/02,,,read,,,,1,0
269831,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"Brown, Dan",,"=""""","=""""",4,Corgi Books,Paperback,593,2004,2003,2023/06/25,2023/07/01,,,read,,,,1,0
16322,"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,"Christie, Agatha",,"=""1579126243""","=""9781579126247""",5,Black Dog & Leventhal Pub,Hardcover,207,2006,1936,2023/01/01,2023/03/20,,,read,,,,1,1
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",5,Alfred A. Knopf,Kindle Edition,592,2006,2005,2023/01/01,2023/03/20,,,read,,,,1,0
6442769,Paper Towns,John  Green,"Green, John",Gázsity Mila,"=""014241493X""","=""9780142414934""",5,Speak,Paperback,305,2009,2008,2022/04/15,2022/04/15,,,read,,,,1,0
816084,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,"Christie, Agatha",,"=""0007119275""","=""9780007119271""",5,HarperCollins,Paperback,304,2004,1920,,2021/05/06,,,read,,,,2,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",5,Bantam Classics,Mass Market Paperback,201,1972,1915,2021/05/04,2021/05/04,,,read,,,,1,0
44094013,Runaway Vagabond,Sriza Ghosh,"Ghosh, Sriza",,"=""""","=""""",5,Blue Rose Publishers,Kindle Edition,0,2019,,,2020/08/15,,,read,,,,2,0
49756988,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""0062986147""","=""9780062986146""",5,William Morrow Paperbacks,Kindle Edition,304,2020,1926,,2020/03/06,,,read,,,,2,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",4,HarperCollins,Paperback,347,2007,1934,2020/02/26,2020/02/26,,,read,,,,1,0
33917,The Namesake,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0618485228""","=""9780618485222""",3,Mariner,Paperback,304,2003,2003,,2019/12/09,,,read,,,,2,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",5,Vintage International,Paperback,467,2006,2002,2019/08/31,2019/08/20,,,read,,,,1,0
762462,One Up On Wall Street: How to Use What You Already Know to Make Money in the Market,Peter Lynch,"Lynch, Peter",,"=""0743200403""","=""9780743200400""",0,Simon & Schuster,Paperback,304,2000,1988,,2019/08/12,to-read,to-read (#10),to-read,,,,0,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",0,Harper Business,Paperback,623,2006,1949,,2019/08/12,to-read,to-read (#9),to-read,,,,0,0
